"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.285925650E-1,5.022785068E-2,-3.441429138E-2,-2.141463757E-2,6.454275433E-2
1.481289720E-1,-6.224936247E-2,-3.206825256E-2,-1.105952263E-2,7.089195294E-2
1.676653780E-1,-5.161342025E-2,-4.873752594E-2,2.402365208E-4,7.098837439E-2
1.872018360E-1,-1.639935374E-2,-1.238727570E-2,1.040011644E-3,2.057826588E-2
2.067382430E-1,-2.169597149E-2,1.304149628E-2,-4.206603765E-2,4.909528825E-2
2.262746490E-1,-2.849486470E-2,-1.436519623E-2,-9.238523245E-2,9.774122647E-2
2.458110550E-1,3.187415004E-2,-3.414344788E-2,1.184463501E-2,4.818746571E-2
2.653475130E-1,-1.629576087E-2,-9.882068634E-2,-8.614814281E-2,1.321082222E-1
2.848839200E-1,-4.975414276E-2,3.173732758E-2,8.022487164E-3,5.955747631E-2
3.044203260E-1,-6.834638119E-2,-1.252269745E-2,-3.460246325E-2,7.762329699E-2
3.239567320E-1,-1.341404021E-1,-9.568214417E-3,-4.413893819E-2,1.415395495E-1
3.434931380E-1,-3.731220961E-3,-6.923484802E-2,-3.976747394E-2,7.993020814E-2
3.630295970E-1,6.020754576E-3,-5.770111084E-2,7.513549924E-2,9.492634473E-2
3.825660030E-1,-1.752668619E-1,-1.311874390E-2,4.152578115E-2,1.805961374E-1
4.021024090E-1,1.138729155E-1,1.264028549E-1,2.272695303E-3,1.701466654E-1
4.216388150E-1,2.430250943E-1,-1.153764725E-1,3.528635800E-1,4.437179655E-1
4.411752220E-1,2.162270844E-1,-1.607313156E-1,3.074341416E-1,4.087841231E-1
4.607116280E-1,-1.432465911E-1,-2.909183502E-2,1.109167039E-1,1.834896072E-1
4.802480860E-1,-3.856076002E-1,-5.681324005E-2,-2.665715814E-1,4.722090359E-1
4.997844930E-1,-5.233538151E-2,-6.058311462E-2,-3.471359611E-2,8.726018387E-2
5.193208990E-1,1.632520556E-1,1.352882385E-2,-1.117333770E-2,1.641922843E-1
5.388573050E-1,-1.113762558E-1,1.525230408E-1,-4.474192858E-2,1.940870642E-1
5.583937110E-1,1.893504262E-1,2.894725800E-1,2.081899345E-1,4.037214476E-1
5.779301180E-1,5.303983688E-1,3.540992737E-3,-4.357110858E-1,6.864248820E-1
5.974665240E-1,8.403620124E-1,-3.273954391E-1,-2.535904646E-1,9.368586922E-1
6.170029300E-1,3.604025245E-1,1.763029099E-1,-1.048833132E-3,4.012153982E-1
6.365393360E-1,-5.683991313E-1,3.604316711E-2,-9.993413091E-2,5.782417426E-1
6.560757430E-1,-5.090844631E-1,-1.914434433E-1,-2.220203578E-1,5.874611663E-1
6.756121490E-1,-3.958738446E-1,-1.040239334E-1,-6.411740184E-2,4.143043818E-1
6.951485550E-1,-3.534393907E-1,-7.151508331E-2,-4.042260349E-1,5.416940994E-1
7.146849610E-1,-1.156979799E-1,-5.844211578E-2,-4.916875064E-1,5.084860937E-1
7.342213680E-1,-4.622289538E-1,-8.110809326E-2,-2.861930430E-1,5.496731633E-1
7.537577740E-1,-6.246286631E-1,-5.772113800E-2,-1.993267238E-1,6.581974167E-1
7.732941800E-1,7.950663567E-4,1.360130310E-2,2.449616939E-1,2.453402923E-1
7.928305860E-1,4.774253964E-1,-7.923030853E-2,-4.277792573E-2,4.858419516E-1
8.123669400E-1,3.574866951E-1,-6.306457520E-2,-3.222629428E-1,4.854145466E-1
8.319033470E-1,1.510390043E-1,8.750247955E-2,-3.620351553E-1,4.019190446E-1
8.514397530E-1,-2.066599131E-1,-5.694866180E-2,-2.231700122E-1,3.094451876E-1
8.709761590E-1,-3.838630319E-1,-4.901123047E-2,-3.452408314E-2,3.885162033E-1
8.905125650E-1,3.043465316E-1,3.847599030E-2,6.244845688E-2,3.130607336E-1
9.100489720E-1,4.017872810E-1,-1.572704315E-2,-9.931500256E-2,4.141784987E-1
9.295853780E-1,6.553309560E-1,-6.928348541E-2,-5.556271672E-1,8.619631153E-1
9.491217320E-1,2.770365179E-1,3.082609177E-1,1.296905130E-1,4.342737095E-1
9.686581380E-1,-1.269039512E-1,-7.152652740E-2,1.224003956E-1,1.902695819E-1
9.881945450E-1,2.630415559E-1,-9.044075012E-2,-1.799076237E-2,2.787365368E-1
1.007730951E0,-1.714058518E-1,3.078079224E-2,-9.016121924E-2,1.961032092E-1
1.027267305E0,-2.165169716E-1,-2.347917557E-1,-2.329835296E-1,3.953328883E-1
1.046803711E0,-2.180451155E-2,9.500503540E-3,-2.319444567E-1,2.331607327E-1
1.066340118E0,-3.071883321E-1,1.130084991E-1,-2.153507173E-1,3.918054666E-1
1.085876524E0,-6.165751219E-1,-9.843254089E-2,3.469026685E-1,7.142795723E-1
1.105412878E0,-4.222098589E-1,-2.000236511E-1,4.924400449E-1,6.787988095E-1
1.124949284E0,-4.039809108E-1,-1.135110855E-1,3.911784291E-1,5.736775281E-1
1.144485690E0,-2.643150091E-1,-8.575439453E-2,7.564163208E-2,2.879894038E-1
1.164022045E0,-1.717593670E-1,-1.480197906E-2,-3.584176302E-3,1.724332481E-1
1.183558451E0,-7.437711358E-1,-1.459894180E-1,5.288812518E-2,7.598062690E-1
1.203094857E0,-4.378569126E-1,-1.930961609E-1,9.741488695E-1,1.085343643E0
1.222631211E0,-6.618857384E-2,-2.306385040E-1,6.901512146E-1,7.306734879E-1
1.242167618E0,-3.508269191E-1,7.687568665E-2,-6.657996178E-1,7.564909315E-1
1.261704024E0,-2.755643129E-1,3.458118439E-2,-7.182245255E-1,7.700506593E-1
1.281240378E0,1.581150293E-2,-2.875804901E-2,-9.421321750E-2,9.976552190E-2
1.300776784E0,-8.638006449E-2,-4.250717163E-2,5.903306603E-2,1.129304125E-1
1.320313138E0,-5.852512717E-1,-8.470439911E-2,-3.691277206E-1,6.971005382E-1
1.339849545E0,-1.010718346E-1,-1.739883423E-2,-1.703050584E-1,1.988015294E-1
1.359385899E0,1.869370639E-1,-2.229118347E-2,1.617180705E-1,2.481835955E-1
1.378922305E0,-1.529957503E-1,-5.770492554E-2,5.202853680E-2,1.715940753E-1
1.398458711E0,-3.453318179E-1,-2.665328979E-2,-9.558689594E-2,3.593067171E-1
1.417995065E0,-7.397136092E-1,-7.947444916E-2,9.111943841E-2,7.495299619E-1
1.437531472E0,-7.471165061E-1,-1.396665573E-1,1.222748458E-1,7.698317731E-1
1.457067826E0,-3.497207761E-1,-1.299219131E-1,2.342309356E-1,4.405093142E-1
1.476604232E0,-7.121958733E-1,-4.986000061E-2,1.446670592E-1,7.284487213E-1
1.496140586E0,-9.662145376E-1,-1.818752289E-2,-2.589038014E-1,1.000466140E0
1.515676940E0,-2.398533225E-1,2.453041077E-2,2.287505269E-1,3.323524649E-1
1.535213347E0,-7.335677147E-1,3.394126892E-2,-1.875967532E-1,7.579354482E-1
1.554749701E0,-1.531233668E0,3.026962280E-3,-5.526252389E-1,1.627906743E0
1.574286107E0,-3.162091374E-1,4.566707611E-1,3.150343895E-3,5.554694657E-1
1.593822461E0,-3.441376686E-1,3.859119415E-1,2.121299207E-1,5.588898504E-1
1.613358868E0,-6.163890958E-1,4.433288574E-1,6.123125553E-3,7.592848516E-1
1.632895222E0,-5.570173264E-2,7.509784698E-1,-3.433536887E-1,8.276249759E-1
1.652431628E0,5.167771578E-1,1.000530243E0,-3.341510594E-1,1.174638808E0
1.671967982E0,-1.180584431E0,9.920396805E-1,3.605833650E-2,1.542472862E0
1.691504336E0,-1.138493299E0,1.171026230E0,-2.528828382E-1,1.652700564E0
1.711040743E0,-1.137318373E0,9.844446182E-1,-3.632558584E-1,1.547442763E0
1.730577097E0,-8.593536615E-1,1.452990532E0,-8.484894037E-1,1.889339691E0
1.750113451E0,-8.419878483E-1,1.779414177E0,-7.616748810E-1,2.110783498E0
