"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.295484070E-1,-3.940641880E-3,1.317977905E-3,-4.242178053E-3,5.938164600E-3
1.490773130E-1,-1.705819368E-1,-5.352497101E-2,3.562700003E-2,1.822975667E-1
1.686062190E-1,6.348967552E-3,-4.330062866E-2,2.081279457E-2,4.846056386E-2
1.881351260E-1,5.157363415E-2,-3.374195099E-2,2.419318259E-2,6.620928243E-2
2.076639800E-1,-1.062996387E-1,1.252174377E-3,2.882707864E-2,1.101461829E-1
2.271928860E-1,-4.420429468E-2,-1.489925385E-2,1.215111464E-2,4.820432574E-2
2.467217920E-1,1.485752463E-1,-4.640579224E-2,2.970223129E-2,1.584623738E-1
2.662506980E-1,8.007884026E-2,-3.430557251E-2,5.909796432E-2,1.052713748E-1
2.857795530E-1,-5.780726671E-2,-5.273342133E-2,1.735114865E-2,8.014709083E-2
3.053084590E-1,-2.840399742E-3,1.484680176E-2,5.924168974E-3,1.623549110E-2
3.248373650E-1,-9.719431400E-3,-5.344963074E-2,-1.118381321E-2,5.546537704E-2
3.443662190E-1,1.158209443E-1,-4.012489319E-2,-9.262102656E-3,1.229238982E-1
3.638951260E-1,7.485187054E-2,-3.592872620E-2,3.010923415E-2,8.831897797E-2
3.834240320E-1,-9.463232756E-2,-5.695343018E-3,2.141657285E-2,9.719250971E-2
4.029528860E-1,-9.713345766E-2,-3.215217590E-2,1.260320004E-2,1.030898233E-1
4.224817920E-1,-2.503764629E-2,-8.550643921E-3,-5.837839097E-3,2.709386663E-2
4.420106980E-1,2.510905266E-2,-4.163360596E-2,1.621637680E-2,5.125224431E-2
4.615395530E-1,6.827706099E-2,-7.438945770E-2,-6.126775965E-2,1.181070991E-1
4.810684590E-1,1.881261468E-1,-1.331043243E-2,-4.254721850E-2,1.933361852E-1
5.005973130E-1,-1.564121246E-2,-3.380870819E-2,5.030651391E-2,6.259729721E-2
