"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.414536350E-1,-2.050345540E-1,2.092075348E-2,-1.926082373E-2,2.069971632E-1
1.609865000E-1,-1.177964211E-1,-2.150249481E-2,5.590218306E-2,1.321491890E-1
1.805193120E-1,-2.801494598E-1,-5.410194397E-3,-1.696461439E-2,2.807147809E-1
2.000521250E-1,-1.991388202E-1,-6.390571594E-3,-5.784630775E-2,2.074688035E-1
2.195849370E-1,-1.482108235E-1,-7.173442841E-2,2.020895481E-3,1.646704602E-1
2.391177500E-1,-2.906483412E-1,5.556106567E-3,-4.530954361E-2,2.942112902E-1
2.586505620E-1,-2.416861057E-1,3.252696991E-2,-6.233155727E-3,2.439447267E-1
2.781833750E-1,-1.183238626E-1,-7.714271545E-3,1.302736998E-2,1.192885527E-1
2.977161870E-1,-9.571552277E-2,-2.651405334E-2,1.402258873E-3,9.932986788E-2
3.172490000E-1,-1.327923536E-1,-6.716728210E-3,-3.152441978E-2,1.366481345E-1
3.367818120E-1,-1.522606015E-1,3.559112549E-3,-3.209859133E-2,1.556479284E-1
3.563146250E-1,-1.522477865E-1,-1.364135742E-2,-2.441132069E-2,1.547946631E-1
3.758474370E-1,-1.852972507E-1,-1.784324646E-2,-4.427403212E-2,1.913469166E-1
3.953801970E-1,-2.221763730E-1,-1.398754120E-2,-4.077649117E-2,2.263199378E-1
4.149130620E-1,-2.168426514E-1,-4.706382751E-3,-1.390206814E-2,2.173387977E-1
4.344458220E-1,-2.087268233E-1,-3.368759155E-2,-1.686489582E-2,2.120994232E-1
4.539786350E-1,-2.304211259E-1,8.900642395E-3,-2.739614248E-2,2.322146966E-1
4.735114470E-1,-2.619881034E-1,3.236579895E-2,-2.618080378E-2,2.652748494E-1
4.930442600E-1,-2.089602947E-1,-3.646659851E-2,-5.768990517E-2,2.198234354E-1
5.125770720E-1,-1.964925528E-1,-9.626197815E-2,-3.222334385E-2,2.211651772E-1
5.321098850E-1,-2.617343068E-1,-7.792568207E-2,-5.911523104E-2,2.794134389E-1
5.516426970E-1,-2.019817233E-1,-2.608299255E-2,5.302667618E-3,2.037279002E-1
5.711755100E-1,-1.509008408E-1,-8.723258972E-2,-1.017926335E-1,2.018472905E-1
5.907083220E-1,-2.034339905E-1,-8.158779144E-2,-2.418757677E-1,3.264136076E-1
6.102410830E-1,-2.095943093E-1,-3.319549561E-2,-6.865364313E-2,2.230359571E-1
6.297738950E-1,-2.180528641E-1,-1.063728333E-1,-1.410818100E-2,2.430252496E-1
