"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.432673480E-1,-5.211263895E-3,1.006793976E-2,2.533620596E-2,2.775687329E-2
1.628027640E-1,-1.781064272E-2,-1.231479645E-2,-1.201188117E-1,1.220549144E-1
1.823382330E-1,1.713180542E-2,-1.433181763E-2,-7.437986881E-2,7.766121707E-2
2.018736500E-1,3.574180603E-2,-7.305622101E-2,3.518059850E-2,8.861355786E-2
2.214091190E-1,-2.106866241E-2,-1.730823517E-2,-6.259834766E-2,6.827896214E-2
2.409445350E-1,-2.202059031E-1,1.965808868E-2,-3.024052382E-1,3.746011322E-1
2.604799520E-1,3.961059451E-2,1.290187836E-1,-6.575666666E-1,6.712739878E-1
2.800154210E-1,2.648877501E-1,4.647731781E-2,-3.767600656E-1,4.628971897E-1
2.995508370E-1,1.128302217E-1,6.323814392E-3,-1.415816545E-1,1.811519099E-1
3.190863060E-1,3.313395381E-2,-1.009969711E-1,2.090726793E-2,1.083298709E-1
3.386217230E-1,4.344612360E-2,-1.356477737E-1,5.274343491E-1,5.463285429E-1
3.581571390E-1,-4.312433302E-1,-7.963562012E-2,7.704371214E-1,8.865021150E-1
3.776926080E-1,-4.524090886E-2,-1.200294495E-2,3.898670971E-1,3.926667340E-1
3.972280250E-1,2.039803863E-1,-1.428298950E-1,4.462613761E-1,5.110358038E-1
4.167634410E-1,1.857313216E-1,-5.177497864E-3,2.061945796E-1,2.775592458E-1
4.362989100E-1,-1.894927025E-2,-4.150390625E-2,-1.308938563E-1,1.386176421E-1
4.558343270E-1,-2.335843444E-1,-3.251266479E-2,-3.488734365E-1,4.211073426E-1
4.753697440E-1,-1.915986240E-1,-8.563995361E-3,-3.243858814E-1,3.768415779E-1
4.949052120E-1,5.134612322E-2,-4.685688019E-2,-1.314504743E-1,1.486984155E-1
5.144406290E-1,-1.999070346E-1,-5.548191071E-2,1.133182794E-1,2.363939453E-1
5.339760460E-1,1.345506608E-1,1.066493988E-2,-9.444072843E-3,1.353026673E-1
5.535115140E-1,4.612988532E-1,3.300762177E-2,1.958855093E-1,5.022521954E-1
5.730469310E-1,3.182281852E-1,-8.397197723E-2,3.128012121E-1,4.540540376E-1
5.925823480E-1,-1.280735731E-1,-2.559375763E-2,4.421908855E-1,4.610755468E-1
