"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.489134720E-1,-7.136884332E-2,-5.877590179E-2,-2.097052336E-2,9.480443702E-2
1.684431590E-1,2.489052713E-2,-3.395652771E-2,3.675711155E-2,5.588979660E-2
1.879728470E-1,-4.860600829E-2,-4.698467255E-2,3.390479088E-2,7.562829061E-2
2.075025340E-1,-1.359282732E-1,-2.551078796E-2,3.990709782E-2,1.439439899E-1
2.270322220E-1,-3.956377506E-3,-4.669666290E-2,-3.213018179E-2,5.682059337E-2
2.465618570E-1,1.313423365E-1,-4.673957825E-3,3.345209360E-2,1.356159939E-1
2.660915450E-1,-1.074570715E-1,-4.852676392E-2,4.073059559E-2,1.247431379E-1
2.856212320E-1,-9.146401286E-2,-5.306911469E-2,-8.653044701E-3,1.060984060E-1
3.051508680E-1,9.394247830E-2,-1.287651062E-2,-6.933987141E-3,9.507404447E-2
3.246805550E-1,-4.871693254E-2,-5.417823792E-2,2.059054375E-2,7.571387899E-2
3.442102430E-1,-9.070616961E-2,-2.370357513E-2,7.866084576E-3,9.408158143E-2
3.637399300E-1,-5.719384551E-2,-5.820274353E-3,7.011419535E-2,9.066979622E-2
3.832695660E-1,-9.437257051E-2,-5.053043365E-2,3.044033051E-2,1.112929491E-1
4.027992530E-1,2.165661752E-2,-3.976631165E-2,4.952013493E-3,4.555097213E-2
4.223289410E-1,4.235084355E-2,-3.615760803E-2,-1.081252098E-2,5.672633584E-2
4.418586280E-1,-3.542283177E-2,-3.626060486E-2,1.153063774E-2,5.198619127E-2
4.613882630E-1,-5.700013041E-2,-5.000114441E-2,1.906484365E-2,7.818310286E-2
4.809179510E-1,-6.354896724E-2,1.677894592E-2,5.303966999E-2,8.445833799E-2
5.004476380E-1,-1.336183548E-1,-3.320598602E-2,-1.422196627E-2,1.384151963E-1
5.199772740E-1,9.636762738E-2,-4.860687256E-2,1.041463017E-2,1.084334459E-1
5.395069610E-1,6.003019214E-2,-2.534580231E-2,4.036140442E-2,7.664904846E-2
5.590366490E-1,-1.280690134E-1,-7.108211517E-2,3.649193048E-2,1.509503238E-1
5.785662840E-1,-5.940066278E-2,-4.744434357E-2,-2.032411098E-2,7.869227384E-2
5.980959720E-1,1.108420342E-1,-5.387210846E-2,-7.478877902E-2,1.441579761E-1
6.176256590E-1,1.989783049E-1,-3.403759003E-2,-3.026080132E-2,2.041240785E-1
6.371552950E-1,-1.593471467E-1,-1.082744598E-1,1.340317726E-1,2.346899825E-1
6.566849820E-1,-3.293629885E-1,-8.920001984E-2,-2.421171665E-1,4.183985469E-1
6.762146700E-1,4.098392129E-1,-2.119255066E-2,-1.463617086E-1,4.357052380E-1
6.957443050E-1,4.285295606E-1,-6.354713440E-2,3.415069878E-1,5.516365156E-1
7.152739930E-1,-6.236991882E-1,-1.804599762E-1,2.809819281E-1,7.074724902E-1
7.348036800E-1,-3.454245329E-1,-3.671836853E-2,2.415696084E-1,4.231101774E-1
7.543333680E-1,1.320537627E-1,2.399539948E-2,3.479119241E-1,3.729030469E-1
7.738630030E-1,-3.525134325E-1,-3.849124908E-2,2.500963509E-1,4.339302722E-1
7.933926910E-1,-5.566594601E-1,1.541328430E-2,2.446772158E-1,6.082550976E-1
8.129223260E-1,-1.392686963E-1,-4.171848297E-2,2.229000926E-1,2.661215002E-1
8.324520130E-1,1.979135126E-1,5.322647095E-2,1.958144605E-1,2.834539092E-1
8.519817010E-1,5.495662987E-2,2.934293747E-1,6.049829721E-2,3.045998573E-1
8.715113360E-1,8.904507756E-2,2.019519806E-1,1.063938588E-1,2.450169004E-1
8.910410240E-1,2.284085155E-1,8.659362793E-3,4.140385091E-1,4.729411396E-1
9.105707110E-1,-1.889039874E-1,7.759189606E-2,3.467611670E-1,4.024282865E-1
9.301003470E-1,-6.210520864E-1,3.531827927E-1,-6.017322093E-2,7.169829813E-1
9.496300340E-1,-6.566934586E-1,4.556627274E-1,-2.011365443E-2,7.995494848E-1
9.691596700E-1,-8.166545630E-1,4.744529724E-1,1.392552853E-1,9.546844152E-1
9.886893570E-1,-1.442880630E0,6.463031769E-1,-3.176881373E-2,1.581335375E0
1.008219045E0,-1.593315363E0,5.181865692E-1,-1.956653148E-1,1.686847972E0
1.027748680E0,-1.285446167E0,4.393033981E-1,-2.841598988E-1,1.387842272E0
1.047278368E0,-7.096259594E-1,3.631839752E-1,-7.584382594E-2,8.007645647E-1
1.067086284E0,7.477252483E-1,3.185997009E-1,-1.123730242E-1,8.205038166E-1
1.087006336E0,7.402312160E-1,-1.529073715E-1,-2.079091072E-1,7.839318301E-1
1.106926441E0,4.771149755E-1,-6.422967911E-1,-2.830604613E-1,8.487090740E-1
1.126846493E0,2.688370347E-1,-7.399301529E-1,-2.032954842E-1,8.130799692E-1
1.146766597E0,-1.433672905E0,-9.471254349E-1,-1.735069454E-1,1.727011653E0
1.166672847E0,-2.923514605E0,-7.456636429E-1,4.151705205E-1,3.045540752E0
1.186606909E0,-4.381917477E0,-7.992916107E-1,-3.279614449E-1,4.466276588E0
1.206527013E0,-3.208355904E0,-2.833957672E-1,6.354283690E-1,3.282930090E0
1.226447066E0,-2.124592066E0,-2.413177490E-2,2.628386617E-1,2.140924555E0
1.246367170E0,-2.008874416E0,1.910619736E-1,3.544685245E-1,2.048836019E0
1.266287222E0,-1.382429123E0,-1.217632294E-1,4.645423293E-1,1.463467164E0
1.286207326E0,-2.819382548E-1,-1.579084396E-1,1.235655546E-1,3.459663295E-1
1.306046441E0,2.909286320E-1,-4.029302597E-1,-2.309940755E-1,5.480424491E-1
1.325576076E0,5.134025216E-1,-5.515060425E-1,-3.739895523E-1,8.411951315E-1
1.345105763E0,8.043285012E-1,-5.751323700E-1,-5.924756527E-1,1.152713746E0
1.364635399E0,1.098983407E0,-5.858936310E-1,-6.641088724E-1,1.411409391E0
1.384165086E0,1.259231329E0,-6.895570755E-1,-4.747473896E-1,1.512130148E0
1.403694722E0,1.519301176E0,-3.650503159E-1,-2.598642707E-1,1.584003547E0
1.423224409E0,1.797194242E0,-1.393594742E-1,-2.327900529E-1,1.817558642E0
1.442754045E0,2.146204233E0,-4.158487320E-1,6.297878921E-2,2.187027459E0
1.462283732E0,2.684189558E0,-7.923469543E-1,8.579491824E-2,2.800008580E0
1.481813368E0,3.717681646E0,-1.294551849E0,1.219888330E0,4.121304266E0
1.501343055E0,4.698809147E0,-9.735422134E-1,7.514067888E-1,4.857077723E0
1.520859097E0,7.355116010E-1,8.875894547E-1,5.518662333E-1,1.278025311E0
1.540402378E0,-3.896275759E0,6.275832176E0,-1.900024772E0,7.627393292E0
1.559932013E0,-3.151985407E0,1.631742477E0,-2.670305490E0,4.441635614E0
1.579448107E0,3.342760324E0,-1.990505695E0,-3.116523027E-1,3.902984328E0
1.598991336E0,3.268326521E0,5.566501617E-2,1.714802742E0,3.691287754E0
1.618521024E0,-7.976096869E-1,-6.038541794E-1,1.202464938E0,1.564206831E0
1.638050659E0,-6.793623567E-1,-4.773492813E-1,4.498455524E-1,9.443286340E-1
1.657580347E0,9.076080918E-1,7.556476593E-1,-1.502257884E-1,1.190514015E0
1.677110034E0,1.182311773E-2,6.708059311E-1,1.364976168E-3,6.709115042E-1
1.696639670E0,-8.645421267E-1,-5.374908447E-2,1.404085755E-1,8.775173052E-1
1.716169357E0,-1.179037690E-1,-1.400852203E-1,4.155002236E-1,4.540546262E-1
1.735698993E0,3.605833054E-1,-2.175531387E-1,3.592824936E-1,5.535644484E-1
1.755228680E0,-1.230746508E-1,-2.408924103E-1,1.249766350E-1,2.979860438E-1
1.774758316E0,-3.287274241E-1,1.465291977E-1,6.410175562E-2,3.655701851E-1
1.794288003E0,-1.593636274E-1,4.094409943E-2,5.494040251E-2,1.734694003E-1
