"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.447940610E-1,-9.923644364E-3,1.118659973E-3,-1.258510351E-2,1.606595618E-2
1.643297380E-1,-3.382726759E-2,-4.094696045E-2,-1.315987110E-2,5.471855087E-2
1.838654670E-1,-1.004425958E-1,-3.932094574E-2,-2.511817217E-2,1.107509566E-1
2.034011960E-1,-1.160844937E-1,-6.278038025E-3,-1.367682219E-2,1.170558794E-1
2.229369250E-1,-8.556824923E-2,-4.401302338E-2,-3.156250715E-2,1.012682742E-1
2.424726020E-1,-8.883032203E-2,-1.055717468E-2,-1.064766049E-1,1.390667014E-1
2.620083310E-1,-5.670229346E-2,-1.527118683E-2,1.593267918E-2,6.084578454E-2
2.815440610E-1,-6.676875055E-2,-3.458690643E-2,6.343162060E-2,9.837627071E-2
3.010797900E-1,-1.271597743E-1,-3.754234314E-2,-2.300876379E-2,1.345675999E-1
3.206154670E-1,-9.333786368E-2,4.817008972E-3,-3.077369928E-2,9.839807386E-2
3.401511960E-1,-2.909948863E-2,-2.954483032E-3,3.114062548E-2,4.272291848E-2
3.596869250E-1,-1.676360369E-1,-4.056262970E-2,8.339244127E-2,1.915762695E-1
3.792226020E-1,-2.042093426E-1,-5.703926086E-3,-5.983293056E-3,2.043765891E-1
3.987583310E-1,-5.592887849E-2,-2.902507782E-2,-1.118618250E-2,6.399707236E-2
4.182940610E-1,-1.172347926E-2,-1.868724823E-2,-1.324152946E-2,2.572919188E-2
4.378297380E-1,-9.912562370E-2,-5.071067810E-2,-3.141099215E-2,1.156897255E-1
4.573654670E-1,-1.245153695E-1,-1.626968384E-2,5.614936352E-3,1.256992736E-1
4.769011960E-1,-8.261629939E-2,-3.634452820E-3,1.633596420E-2,8.429428153E-2
4.964368730E-1,-7.036613673E-2,-4.736709595E-2,-1.717913151E-2,8.654569623E-2
5.159726020E-1,-6.983033568E-2,-4.340839386E-2,-2.038657665E-2,8.471231874E-2
5.355083310E-1,-1.299534142E-1,-3.064250946E-2,-5.045408010E-2,1.427321528E-1
5.550440090E-1,-1.129208803E-1,-1.353168488E-2,-2.838420868E-2,1.172172983E-1
5.745797380E-1,-6.691821665E-2,-5.236530304E-2,1.214742661E-2,8.583549764E-2
5.941154670E-1,-5.881614238E-2,-4.004383087E-2,-5.784475803E-2,9.169985293E-2
6.136511440E-1,-8.000392467E-2,-5.665302277E-2,-1.219735146E-1,1.564855623E-1
6.331868730E-1,-4.190801829E-2,-8.561897278E-2,-1.350544691E-1,1.653075925E-1
6.527226020E-1,-5.107112974E-2,-9.478569031E-3,-1.243860722E-1,1.347961369E-1
6.722582790E-1,-2.812129632E-2,-1.247854233E-1,-2.071132660E-1,2.434298957E-1
6.917940090E-1,-6.532237679E-2,-1.724748611E-1,-8.531075716E-2,2.032056001E-1
7.113297380E-1,-5.839456245E-2,3.547763824E-2,2.298889458E-1,2.398280950E-1
7.308654150E-1,-1.856989264E-1,-1.712808609E-1,1.586308479E-1,2.983034873E-1
7.504011440E-1,-2.786086500E-1,2.337551117E-2,2.663864195E-1,3.861747258E-1
7.699368210E-1,-3.875398338E-1,6.094169617E-2,1.970034838E-1,4.389890497E-1
